,Date,ID,IUI Number,IUI ART Number,ICI Number,ICI ART Number
0,2/28/22,351,0,10,0,0
1,2/28/22,406,10,0,1,0
2,2/28/22,834,0,0,6,0
3,2/28/22,846,10,0,0,0
4,2/28/22,1862,0,1,0,0
5,2/28/22,1886,0,0,0,0
6,2/28/22,1904,0,0,0,1
7,2/28/22,1964,,0,7,0
8,2/28/22,1972,1,0,0,0
9,2/28/22,2045,0,0,1,0
10,2/28/22,2310,0,10,0,0
11,2/28/22,2342,0,1,0,0
12,2/28/22,2503,10,0,10,0
13,2/28/22,2553,10,1,0,0
14,2/28/22,2669,6,0,8,0
15,2/28/22,2751,,,,
16,2/28/22,2755,10,0,10,0
17,2/28/22,2766,0,0,1,0
18,2/28/22,2772,10,1,1,1
19,2/28/22,2773,,0,1,0
20,2/28/22,2812,10,0,0,0
21,2/28/22,2815,10,0,10,0
22,2/28/22,2835,10,0,10,0
23,2/28/22,2839,,1,,
24,2/28/22,2854,0,0,7,0
25,2/28/22,2882,0,1,0,0
26,2/28/22,2893,1,0,10,0
27,2/28/22,2954,1,0,0,0
28,2/28/22,2983,10,0,0,0
29,2/28/22,2990,10,0,10,0
30,2/28/22,2991,,,,
31,2/28/22,4053,10,0,10,0
32,2/28/22,4109,10,0,0,10
33,2/28/22,4140,10,0,10,0
34,2/28/22,4157,10,0,1,0
35,2/28/22,4180,0,0,1,0
36,2/28/22,4202,10,0,10,0
37,2/28/22,4203,0,0,0,0
38,2/28/22,4219,10,0,0,0
39,2/28/22,4228,0,1,0,0
40,2/28/22,4235,,,,
41,2/28/22,4250,,,,
42,2/28/22,4268,,,,
43,2/28/22,4287,10,8,1,1
44,2/28/22,4296,,0,0,0
45,2/28/22,4300,10,10,1,1
46,2/28/22,4308,7,0,1,0
47,2/28/22,4314,,,,
48,2/28/22,4321,10,1,0,0
49,2/28/22,4328,,,,
50,2/28/22,4337,10,10,0,0
51,2/28/22,4366,10,10,1,0
52,2/28/22,4409,10,0,10,0
53,2/28/22,4454,10,10,1,0
54,2/28/22,4456,10,0,10,0
55,2/28/22,4463,0,0,10,1
56,2/28/22,4473,1,0,1,1
57,2/28/22,4499,10,8,8,1
58,2/28/22,4552,10,0,10,1
59,2/28/22,4553,1,0,0,0
60,2/28/22,4554,1,0,0,0
61,2/28/22,4593,1,0,0,0
62,2/28/22,4600,10,0,10,0
63,2/28/22,4737,0,0,1,6
64,2/28/22,4760,,,,
65,2/28/22,4773,10,0,0,0
66,2/28/22,4778,,,,
67,2/28/22,4789,0,0,0,1
68,2/28/22,4814,10,1,10,8
69,2/28/22,4817,,,,
70,2/28/22,4834,1,0,0,0
71,2/28/22,4840,10,0,0,0
72,2/28/22,4846,0,0,0,6
73,2/28/22,4857,10,0,10,0
74,2/28/22,4871,,,,
75,2/28/22,4874,,,,
76,2/28/22,4881,10,0,0,0
77,2/28/22,4887,,,,
78,2/28/22,4929,10,10,0,0
79,2/28/22,4939,10,1,0,0
80,2/28/22,4941,,,,
81,2/28/22,4947,10,10,0,0
82,2/28/22,4951,,,,
83,2/28/22,4969,1,0,0,0
84,2/28/22,4974,,,,
85,2/28/22,4977,10,10,0,0
86,2/28/22,5003,10,1,0,0
87,2/28/22,5011,10,10,0,0
88,2/28/22,5013,10,0,0,0
89,2/28/22,5025,10,0,0,0
90,2/28/22,5026,10,10,1,0
91,2/28/22,5039,1,0,0,0
92,2/28/22,5041,,,,
93,2/28/22,5042,10,0,1,0
94,2/28/22,5062,0,1,0,0
95,2/28/22,5067,10,10,6,0
96,2/28/22,5068,10,,,
97,2/28/22,5069,10,0,10,0
98,2/28/22,5071,1,0,0,0
99,2/28/22,5080,0,1,7,0
100,2/28/22,5092,,,,
101,2/28/22,5124,10,1,10,1
102,2/28/22,5145,10,0,6,6
103,2/28/22,5150,8,0,0,0
104,2/28/22,5153,10,0,10,
105,2/28/22,5155,0,1,0,0
106,2/28/22,5160,10,0,1,1
107,2/28/22,5164,10,1,9,0
108,2/28/22,5175,10,1,10,0
109,2/28/22,5179,,,,
110,2/28/22,5189,,,,
111,2/28/22,5191,10,0,1,0
112,2/28/22,5196,10,1,1,1
113,2/28/22,5221,,,,
114,2/28/22,5228,10,0,0,0
115,2/28/22,5235,10,0,0,0
116,2/28/22,5240,10,1,0,1
117,2/28/22,5245,10,0,0,1
118,2/28/22,5252,10,0,0,0
119,2/28/22,5285,1,0,0,0
120,2/28/22,5288,10,10,10,8
121,2/28/22,5289,10,,10,
122,2/28/22,5290,10,1,0,0
123,2/28/22,5298,10,10,0,1
124,2/28/22,5302,,,,
125,2/28/22,5307,10,0,10,0
126,2/28/22,5319,,0,0,0
127,2/28/22,5334,10,0,0,0
128,2/28/22,5340,1,0,0,0
129,2/28/22,5342,10,1,0,0
130,2/28/22,5344,,,,
131,2/28/22,5346,10,10,1,10
132,2/28/22,5360,,,,
133,2/28/22,5376,10,8,10,1
134,2/28/22,5388,10,1,0,0
135,2/28/22,5390,0,0,0,0
136,2/28/22,5391,10,10,0,1
137,2/28/22,5395,10,10,0,0
138,2/28/22,5402,,,,
139,2/28/22,5406,,,,
140,2/28/22,5411,10,10,0,0
141,2/28/22,5413,10,0,0,0
142,2/28/22,5426,,,,
143,2/28/22,5427,10,10,0,0
144,2/28/22,5440,1,1,0,0
145,2/28/22,5446,1,0,0,0
146,2/28/22,5451,0,0,0,0
147,2/28/22,5472,,,,
148,2/28/22,5474,7,0,0,0
149,2/28/22,5475,10,0,10,0
150,2/28/22,5488,10,6,,0
151,2/28/22,5490,0,0,0,0
152,2/28/22,5493,,,,
153,2/28/22,5500,10,10,9,1
154,2/28/22,5502,0,1,1,0
155,2/28/22,5506,0,0,10,1
156,2/28/22,5511,10,1,10,0
157,2/28/22,5512,,,,
158,2/28/22,5514,8,0,10,0
159,2/28/22,5519,10,10,1,8
160,2/28/22,5523,,,,
161,2/28/22,5527,,,,
162,2/28/22,5528,0,0,0,0
163,2/28/22,5533,10,10,10,8
164,2/28/22,5535,,,,
165,2/28/22,5548,10,10,10,10
166,2/28/22,5551,10,10,7,10
167,2/28/22,5556,,0,0,0
168,2/28/22,5562,,,,
169,2/28/22,5563,10,10,10,10
170,2/28/22,5573,,,,
171,2/28/22,5575,,,,
172,2/28/22,5578,,,,
173,2/28/22,5583,10,10,0,0
