,IUI Number,Date,IUI ART Number,ICI Number,ICI ART Number,ID
295,0.0,2022-02-28,10.0,0.0,0.0,351
653,0.0,2022-03-01,10.0,0.0,0.0,351
1013,0.0,2022-03-02,10.0,0.0,0.0,351
1370,0.0,2022-03-03,10.0,0.0,0.0,351
1727,0.0,2022-03-04,10.0,0.0,0.0,351
2086,0.0,2022-03-05,10.0,0.0,0.0,351
2443,0.0,2022-03-06,10.0,0.0,0.0,351
2800,0.0,2022-03-07,10.0,0.0,0.0,351
3157,0.0,2022-03-08,10.0,0.0,0.0,351
3515,0.0,2022-03-09,10.0,0.0,0.0,351
3866,0.0,2022-03-10,10.0,0.0,0.0,351
4217,0.0,2022-03-11,10.0,0.0,0.0,351
4569,0.0,2022-03-12,10.0,0.0,0.0,351
4921,0.0,2022-03-13,10.0,0.0,0.0,351
5271,0.0,2022-03-14,10.0,0.0,0.0,351
5622,0.0,2022-03-15,10.0,0.0,0.0,351
5971,0.0,2022-03-16,10.0,0.0,0.0,351
6326,0.0,2022-03-17,10.0,0.0,0.0,351
6684,0.0,2022-03-18,10.0,0.0,0.0,351
7035,0.0,2022-03-19,10.0,0.0,0.0,351
7388,0.0,2022-03-20,10.0,0.0,0.0,351
7741,0.0,2022-03-21,10.0,0.0,0.0,351
8094,0.0,2022-03-22,10.0,0.0,0.0,351
8444,0.0,2022-03-23,10.0,0.0,0.0,351
8796,0.0,2022-03-24,10.0,0.0,0.0,351
9147,0.0,2022-03-25,10.0,0.0,0.0,351
9500,0.0,2022-03-26,10.0,0.0,0.0,351
9851,0.0,2022-03-27,10.0,0.0,0.0,351
10203,0.0,2022-03-28,10.0,0.0,0.0,351
10555,0.0,2022-03-29,10.0,0.0,0.0,351
10906,0.0,2022-03-30,10.0,0.0,0.0,351
11257,0.0,2022-03-31,10.0,0.0,0.0,351
11607,0.0,2022-04-01,10.0,0.0,0.0,351
11956,0.0,2022-04-02,10.0,0.0,0.0,351
12303,0.0,2022-04-03,10.0,0.0,0.0,351
12650,0.0,2022-04-04,10.0,0.0,0.0,351
12996,0.0,2022-04-05,10.0,0.0,0.0,351
13343,0.0,2022-04-06,10.0,0.0,0.0,351
13693,0.0,2022-04-07,10.0,0.0,0.0,351
14046,0.0,2022-04-08,10.0,0.0,0.0,351
14395,0.0,2022-04-09,10.0,0.0,0.0,351
14751,0.0,2022-04-10,10.0,0.0,0.0,351
15105,0.0,2022-04-11,10.0,0.0,0.0,351
15458,0.0,2022-04-12,10.0,0.0,0.0,351
15813,0.0,2022-04-13,10.0,0.0,0.0,351
16163,0.0,2022-04-14,10.0,0.0,0.0,351
16513,0.0,2022-04-15,10.0,0.0,0.0,351
16862,0.0,2022-04-16,10.0,0.0,0.0,351
17212,0.0,2022-04-17,10.0,0.0,0.0,351
17562,0.0,2022-04-18,10.0,0.0,0.0,351
17913,0.0,2022-04-19,10.0,0.0,0.0,351
18264,0.0,2022-04-20,10.0,0.0,0.0,351
18615,0.0,2022-04-21,10.0,0.0,0.0,351
268,10.0,2022-02-28,0.0,1.0,0.0,406
623,10.0,2022-03-01,0.0,1.0,0.0,406
983,10.0,2022-03-02,0.0,1.0,0.0,406
1339,10.0,2022-03-03,0.0,1.0,0.0,406
1697,10.0,2022-03-04,0.0,1.0,0.0,406
2054,10.0,2022-03-05,0.0,1.0,0.0,406
2410,10.0,2022-03-06,0.0,1.0,0.0,406
2769,10.0,2022-03-07,0.0,1.0,0.0,406
3127,10.0,2022-03-08,0.0,1.0,0.0,406
3483,10.0,2022-03-09,0.0,1.0,0.0,406
3837,10.0,2022-03-10,0.0,1.0,0.0,406
4187,10.0,2022-03-11,0.0,1.0,0.0,406
4539,10.0,2022-03-12,0.0,1.0,0.0,406
4891,10.0,2022-03-13,0.0,1.0,0.0,406
5241,10.0,2022-03-14,0.0,1.0,0.0,406
5593,10.0,2022-03-15,0.0,1.0,0.0,406
5944,10.0,2022-03-16,0.0,1.0,0.0,406
6298,10.0,2022-03-17,0.0,1.0,0.0,406
6655,10.0,2022-03-18,0.0,1.0,0.0,406
7006,10.0,2022-03-19,0.0,1.0,0.0,406
7359,10.0,2022-03-20,0.0,1.0,0.0,406
7712,10.0,2022-03-21,0.0,1.0,0.0,406
8065,10.0,2022-03-22,0.0,1.0,0.0,406
8415,10.0,2022-03-23,0.0,1.0,0.0,406
8766,10.0,2022-03-24,0.0,1.0,0.0,406
9115,10.0,2022-03-25,0.0,1.0,0.0,406
9469,10.0,2022-03-26,0.0,1.0,0.0,406
9823,10.0,2022-03-27,0.0,1.0,0.0,406
10175,10.0,2022-03-28,0.0,1.0,0.0,406
10529,10.0,2022-03-29,0.0,1.0,0.0,406
10883,10.0,2022-03-30,0.0,1.0,0.0,406
11234,10.0,2022-03-31,0.0,1.0,0.0,406
11586,10.0,2022-04-01,0.0,1.0,0.0,406
11933,10.0,2022-04-02,0.0,1.0,0.0,406
12280,10.0,2022-04-03,0.0,1.0,0.0,406
12627,10.0,2022-04-04,0.0,1.0,0.0,406
12973,10.0,2022-04-05,0.0,1.0,0.0,406
13320,10.0,2022-04-06,0.0,1.0,0.0,406
13669,10.0,2022-04-07,0.0,1.0,0.0,406
14022,10.0,2022-04-08,0.0,1.0,0.0,406
14373,10.0,2022-04-09,0.0,1.0,0.0,406
14729,10.0,2022-04-10,0.0,1.0,0.0,406
15083,10.0,2022-04-11,0.0,1.0,0.0,406
15437,10.0,2022-04-12,0.0,1.0,0.0,406
15793,10.0,2022-04-13,0.0,1.0,0.0,406
16143,10.0,2022-04-14,0.0,1.0,0.0,406
16493,10.0,2022-04-15,0.0,1.0,0.0,406
16841,10.0,2022-04-16,0.0,1.0,0.0,406
17191,10.0,2022-04-17,0.0,1.0,0.0,406
17541,10.0,2022-04-18,0.0,1.0,0.0,406
17892,10.0,2022-04-19,0.0,1.0,0.0,406
18244,10.0,2022-04-20,0.0,1.0,0.0,406
18595,10.0,2022-04-21,0.0,1.0,0.0,406
294,0.0,2022-02-28,0.0,6.0,0.0,834
652,0.0,2022-03-01,0.0,6.0,0.0,834
1012,0.0,2022-03-02,0.0,6.0,0.0,834
1368,0.0,2022-03-03,0.0,6.0,0.0,834
1724,0.0,2022-03-04,0.0,6.0,0.0,834
2083,0.0,2022-03-05,0.0,6.0,0.0,834
2440,0.0,2022-03-06,0.0,6.0,0.0,834
2797,0.0,2022-03-07,0.0,6.0,0.0,834
3154,0.0,2022-03-08,0.0,6.0,0.0,834
3512,0.0,2022-03-09,0.0,6.0,0.0,834
3863,0.0,2022-03-10,0.0,6.0,0.0,834
4214,0.0,2022-03-11,0.0,6.0,0.0,834
4566,0.0,2022-03-12,0.0,6.0,0.0,834
4917,0.0,2022-03-13,0.0,6.0,0.0,834
5267,0.0,2022-03-14,0.0,6.0,0.0,834
5619,0.0,2022-03-15,0.0,6.0,0.0,834
5966,0.0,2022-03-16,0.0,6.0,0.0,834
6323,0.0,2022-03-17,0.0,6.0,0.0,834
6680,0.0,2022-03-18,0.0,6.0,0.0,834
7032,0.0,2022-03-19,0.0,6.0,0.0,834
7385,0.0,2022-03-20,0.0,6.0,0.0,834
7738,0.0,2022-03-21,0.0,6.0,0.0,834
8091,0.0,2022-03-22,0.0,6.0,0.0,834
8441,0.0,2022-03-23,0.0,6.0,0.0,834
8793,0.0,2022-03-24,0.0,6.0,0.0,834
9143,0.0,2022-03-25,0.0,6.0,0.0,834
9497,0.0,2022-03-26,0.0,6.0,0.0,834
9848,0.0,2022-03-27,0.0,6.0,0.0,834
10201,0.0,2022-03-28,0.0,6.0,0.0,834
10551,0.0,2022-03-29,0.0,6.0,0.0,834
10904,0.0,2022-03-30,0.0,6.0,0.0,834
11255,0.0,2022-03-31,0.0,6.0,0.0,834
11605,0.0,2022-04-01,0.0,6.0,0.0,834
11954,0.0,2022-04-02,0.0,6.0,0.0,834
12301,0.0,2022-04-03,0.0,6.0,0.0,834
12648,0.0,2022-04-04,0.0,6.0,0.0,834
12994,0.0,2022-04-05,0.0,6.0,0.0,834
13341,0.0,2022-04-06,0.0,6.0,0.0,834
13691,0.0,2022-04-07,0.0,6.0,0.0,834
14044,0.0,2022-04-08,0.0,6.0,0.0,834
14393,0.0,2022-04-09,0.0,6.0,0.0,834
14749,0.0,2022-04-10,0.0,6.0,0.0,834
15103,0.0,2022-04-11,0.0,6.0,0.0,834
15455,0.0,2022-04-12,0.0,6.0,0.0,834
15811,0.0,2022-04-13,0.0,6.0,0.0,834
16160,0.0,2022-04-14,0.0,6.0,0.0,834
16509,0.0,2022-04-15,0.0,6.0,0.0,834
16858,0.0,2022-04-16,0.0,6.0,0.0,834
17208,0.0,2022-04-17,0.0,6.0,0.0,834
17558,0.0,2022-04-18,0.0,6.0,0.0,834
17909,0.0,2022-04-19,0.0,6.0,0.0,834
18260,0.0,2022-04-20,0.0,6.0,0.0,834
18611,0.0,2022-04-21,0.0,6.0,0.0,834
293,10.0,2022-02-28,0.0,0.0,0.0,846
651,10.0,2022-03-01,0.0,0.0,0.0,846
1010,10.0,2022-03-02,0.0,0.0,0.0,846
1366,10.0,2022-03-03,0.0,0.0,0.0,846
1722,10.0,2022-03-04,0.0,0.0,0.0,846
2081,10.0,2022-03-05,0.0,0.0,0.0,846
